043
logo.jpg
ZIRKON BASE BO
043.png
DESCRIZIONE;;Rivestimento murale per esterni, a base di resine acriliche, idoneo per la protezione e la decorazione di edifici nuovi o in ristrutturazione, è caratterizzato da resistenze superiori agli agenti atmosferici e agli alcali, ottima tenuta di tinta ed eccellente punto di bianco. Il prodotto ha buone qualità riempitive che permettono di mascherare eventuali piccole imperfezioni del supporto.
ASPETTO;;OPACO
PESO SPECIFICO;;1,44
RESIDUO SECCO;;
PERMEABILITA AL VAPORE ACQUEO;;BASSA
PRESA DI SPORCO;;BASSA
LAVABILITA';;ALTA
COLORE;;Neutro associato a sistema tintometrico (Colorabile con Coloranti Universali)
ESSICCAZIONE;;	Per ricopertura: 6 ore, completo: 48 ore (dati riferiti a 20°C e 65% di U.R.)
RESA PRATICA;;	9-11 m2/L per mano in funzione dell'assorbimento del supporto
DILUIZIONE;;1a mano: tal quale, su parete estremamente assorbente al massimo aggiungere il 10% di acqua potabile;2a mano: Tal quale.;Spruzzo airless:aggiungere tra il 20% e il 30% di acqua potabile. Ugelli consigliati: H-HBTIP419-H-HBTIP519-H-HBTIP619- H-HBTIP421-H-HBTIP521-H-HBTIP624
ATTREZZI;;	Pennello, Rullo, Spruzzo
SUPPORTI;;Intonaco civile, cartongesso, fibrocemento, pareti rasate a stucco
CODICE ARTICOLO;;ZIRKON1NEU;ZIRKON2.5NEU;ZIRKON5NEU;ZIRKON12.5BO
