150
logo.jpg
SUPER TRASPIRA LIQUIDO BIANCO
150.png
DESCRIZIONE;;Idropittura super traspirante per interni caratterizzata da buon potere coprente, facile da applicare, possiede un'ottima pennellabilità e una buona resa. Ideale per applicazioni in interno come capannoni e garage direttamente su calcestruzzo o previa imprimitura su intonaco e vecchie pitture, pronta per essere applicata a spruzzo airless.
ASPETTO;;OPACO
PESO SPECIFICO;;1,55
RESIDUO SECCO;;65
PERMEABILITA AL VAPORE ACQUEO;;ALTA
PRESA DI SPORCO;;BASSA
LAVABILITA';;BASSA
COLORE;;Bianco (Colorabile con Coloranti Universali non associato a sistema tintometrico)
ESSICCAZIONE;;	Per ricopertura: 6 ore, completo: 48 ore (dati riferiti a 20°C e 65% di U.R.)
RESA PRATICA;;	9-11 m2/L per mano in funzione dell'assorbimento del supporto
DILUIZIONE;;1a mano: aggiungere il 30% di acqua potabile;;Spruzzo airless:aggiungere tra il 30% e il 40% di acqua potabile. Ugelli consigliati: H-HBTIP419-H-HBTIP519-H-HBTIP619- H-HBTIP421-H-HBTIP521-H-HBTIP621
ATTREZZI;;	Pennello, Rullo, Spruzzo
SUPPORTI;;Intonaco civile, cartongesso, fibrocemento, pareti rasate a stucco
CODICE ARTICOLO;;KGP1014;;;CISKGP1014
