030
logo.jpg
JANTAR FISSATIVO CONSOLIDANTE
030.png
DESCRIZIONE;Fissativo trasparente penetrante per isolamento ed unificazione della superficie a base di resine acriliche in emulsione con un elevato potere di penetrazione.
ASPETTO;TRASPARENTE OPACO
PESO SPECIFICO;-
RESIDUO SECCO;30,00 p/p ± 5%
PERMEABILITA AL VAPORE ACQUEO; ALTA 
PRESA DI SPORCO; N.C 
LAVABILITA'; N.C 
COLORE; Incolore neutro 
ESSICCAZIONE; 	Per ricopertura: 4 - 6 ore, completo: 24 ore (dati riferiti a 20°C e 65% di U.R.) 
RESA PRATICA; 	10-12 m2/L per mano in funzione dell'assorbimento del supporto 
DILUIZIONE; Aggiungere il 500% - 700% di acqua potabile 
ATTREZZI; 	Pennello, Rullo. 
SUPPORTI; Intonaco civile, cartongesso, fibrocemento, pareti rasate a stucco 
CODICE ARTICOLO;JANTAR3;JANTAR1;JANTAR5
